track_id	track_name	track_artist	track_popularity	track_album_id	track_album_name	track_album_release_date	playlist_name	playlist_id	danceability	energy	key	loudness	mode	speechiness	acousticness	instrumentalness	liveness	valence	tempo	duration_ms	playlist_genre	playlist_subgenre
7FIWs0pqAYbP91WWM0vlTQ	Godzilla (feat. Juice WRLD)	Eminem	79	7FIWs0pqAYbP91WWM0vlTQ	Music To Be Murdered By	2005-01-17	RapCaviar	7FIWs0pqAYbP91WWM0vlTQ	0.81	0.74	10	-5.26	0	0.34	0.145	0	0.29	0.83	166	210800	rap	hip hop
6Ozh9Ok6h4Oi1wUSLtBseN	BOP	DaBaby	93	6Ozh9Ok6h4Oi1wUSLtBseN	KIRK	2019-09-27	RapCaviar	6Ozh9Ok6h4Oi1wUSLtBseN	0.77	0.79	11	-3.91	1	0.37	0.189	0	0.13	0.84	126.77	159715	rap	hip hop
5rSVQzJQ5nMUcFJDkJMfzL	First Place	Polo G	60	5rSVQzJQ5nMUcFJDkJMfzL	First Place	2005-01-17	RapCaviar	5rSVQzJQ5nMUcFJDkJMfzL	0.66	0.57	0	-9.5	1	0.34	0.0125	0	0.07	0.56	137.22	199992	rap	hip hop
1lO9CZo6eDrOy0S7khgryG	No Regrets (feat. Don Toliver)	Eminem	71	1lO9CZo6eDrOy0S7khgryG	Music To Be Murdered By	2005-01-17	RapCaviar	1lO9CZo6eDrOy0S7khgryG	0.76	0.75	9	-5.41	1	0.05	0.0048	0.00536	0.59	0.07	134.94	200947	rap	hip hop
1iSqfoUFnQwV0QW1EfUit8	Suicidal	YNW Melly	90	1iSqfoUFnQwV0QW1EfUit8	Melly vs. Melvin	2019-11-22	RapCaviar	1iSqfoUFnQwV0QW1EfUit8	0.74	0.37	9	-9.68	0	0.07	0.334	0	0.13	0.23	140	222997	rap	hip hop
6gi6y1xwmVszDWkUqab1qw	OUT WEST (feat. Young Thug)	JACKBOYS	87	6gi6y1xwmVszDWkUqab1qw	JACKBOYS	2019-12-27	RapCaviar	6gi6y1xwmVszDWkUqab1qw	0.8	0.59	8	-4.89	1	0.22	0.0104	0	0.2	0.31	139.86	157712	rap	hip hop
2FvD20Z8aoWIePi7PoN8sG	TOES (feat. Lil Baby & Moneybagg Yo)	DaBaby	86	2FvD20Z8aoWIePi7PoN8sG	KIRK	2019-09-27	RapCaviar	2FvD20Z8aoWIePi7PoN8sG	0.82	0.58	8	-4.14	1	0.34	0.0794	5.84e-06	0.09	0.54	160	136366	rap	hip hop
35Ycb1cMPK6tyNMsTepijg	Dead Man Walking (feat. Future)	2 Chainz	63	35Ycb1cMPK6tyNMsTepijg	Dead Man Walking	2005-01-17	RapCaviar	35Ycb1cMPK6tyNMsTepijg	0.85	0.7	5	-5.42	0	0.16	0.0401	0	0.15	0.54	150.02	135507	rap	hip hop
598yNsG1JFrGd4n2kMoz7F	Woah	Lil Baby	88	598yNsG1JFrGd4n2kMoz7F	Woah	2019-11-08	RapCaviar	598yNsG1JFrGd4n2kMoz7F	0.88	0.6	11	-5.55	1	0.24	0.0177	0	0.18	0.43	142.96	183011	rap	hip hop
0jBJIQuToUUOEx7JJkiPzm	How I Move (feat. Lil Baby)	Flipp Dinero	80	0jBJIQuToUUOEx7JJkiPzm	How I Move (feat. Lil Baby)	2019-11-15	RapCaviar	0jBJIQuToUUOEx7JJkiPzm	0.83	0.64	5	-5.18	0	0.21	0.102	0	0.24	0.81	119.95	224916	rap	hip hop
6YfTl5YupXOQBKiJJLrxcw	Death (feat. DaBaby)	Trippie Redd	82	6YfTl5YupXOQBKiJJLrxcw	Death (feat. DaBaby)	2019-11-12	RapCaviar	6YfTl5YupXOQBKiJJLrxcw	0.8	0.82	10	-5.97	0	0.15	0.0579	0	0.15	0.61	164	172196	rap	hip hop
0fySG6A6qLE8IvDpayb5bM	VIBEZ	DaBaby	88	0fySG6A6qLE8IvDpayb5bM	KIRK	2019-09-27	RapCaviar	0fySG6A6qLE8IvDpayb5bM	0.77	0.65	1	-2.71	0	0.31	0.113	0	0.11	0.78	154.19	144935	rap	hip hop
09TZsMHXEtQkdmMJZPLKup	UP THE SMOKE (with Offset)	Stunna 4 Vegas	81	09TZsMHXEtQkdmMJZPLKup	UP THE SMOKE (with Offset)	2019-11-08	RapCaviar	09TZsMHXEtQkdmMJZPLKup	0.91	0.76	4	-7.04	1	0.43	0.0512	0	0.15	0.9	142.99	188048	rap	hip hop
3Gzcb65waeZYidm0vSaelM	Red Light	Tee Grizzley	56	3Gzcb65waeZYidm0vSaelM	Red Light	2005-01-17	RapCaviar	3Gzcb65waeZYidm0vSaelM	0.85	0.72	1	-5.52	1	0.24	0.00101	5.06903192673344	0.24	0.21	98	127347	rap	hip hop
3VyjsVV24RmBIbWJAeUJNu	No Idea	Don Toliver	92	3VyjsVV24RmBIbWJAeUJNu	No Idea	2019-05-29	RapCaviar	3VyjsVV24RmBIbWJAeUJNu	0.66	0.61	6	-4.97	0	0.1	0.558	0.000862	0.22	0.35	128.04	153750	rap	hip hop
735RSTb2xbtWbDtKD9XDYi	Somebody	Internet Money	83	735RSTb2xbtWbDtKD9XDYi	Somebody	2019-10-11	RapCaviar	735RSTb2xbtWbDtKD9XDYi	0.63	0.67	6	-6.66	0	0.26	0.363	0	0.11	0.33	89.92	174333	rap	hip hop
